Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
13,N/A (Chinese Line),还存在许多更复杂的期权策略——**跨式期权 (straddles)**、**价差期权 (spreads)**、**组合期权 (combinations)** 等——但您在 SIE 考试中不需要计算其中的任何一种。然而，如果您计划在此之后参加 Series 7 考试，请做好准备。,还存在许多更复杂的期权策略——**跨式期权 （straddles）**、**价差期权 （spreads）**、**组合期权 （combinations）** 等——但您在 SIE 考试中不需要计算其中的任何一种。然而，如果您计划在此之后参加 Series 7 考试，请做好准备。,Punctuation/Format,术语对照表.md
21,N/A (Chinese Line),期权只是另一种投资工具，（理想情况下）更精明的投资者可以使用。期权可用于**套期保值 (hedging)** 以保护证券头寸，或用于**投机 (speculation)**，即寻求通过交易或行使期权来获利。,期权只是另一种投资工具，（理想情况下）更精明的投资者可以使用。期权可用于**套期保值 （hedging）** 以保护证券头寸，或用于**投机 （speculation）**，即寻求通过交易或行使期权来获利。,Punctuation/Format,术语对照表.md
24,N/A (Chinese Line),期权的持有人拥有在固定价格购买或出售标的证券（股票、债券等）的**权利，而非义务**；作为**衍生品 (derivatives)**，期权的价值源自该标的证券。投资者可以选择行使期权（按固定价格买卖证券）、在市场上交易期权，或者让其过期。,期权的持有人拥有在固定价格购买或出售标的证券（股票、债券等）的**权利，而非义务**；作为**衍生品 （derivatives）**，期权的价值源自该标的证券。投资者可以选择行使期权（按固定价格买卖证券）、在市场上交易期权，或者让其过期。,Punctuation/Format,术语对照表.md
63,N/A (Chinese Line),东部标准时间 (EST) 通常比中部标准时间 (CST) 更容易记住，也更常被考查。,东部标准时间 （EST） 通常比中部标准时间 （CST） 更容易记住，也更常被考查。,Punctuation/Format,术语对照表.md
71,N/A (Chinese Line),**期权类型：看涨期权 (call)**,**期权类型：看涨期权 （call）**,Punctuation/Format,术语对照表.md
72,N/A (Chinese Line),投资者可以买卖**看涨期权 (call option)** 或买卖**看跌期权 (put option)**。**看涨期权赋予持有人买入标的证券的权利**，而**看跌期权赋予持有人卖出的权利**。因此，在示例场景中，持有人有权按前一步所述的价格购买标的证券。,投资者可以买卖**看涨期权 （call option）** 或买卖**看跌期权 （put option）**。**看涨期权赋予持有人买入标的证券的权利**，而**看跌期权赋予持有人卖出的权利**。因此，在示例场景中，持有人有权按前一步所述的价格购买标的证券。,Punctuation/Format,术语对照表.md
75,N/A (Chinese Line),**权利金 (Premium)：5**,**权利金 （Premium）：5**,Punctuation/Format,术语对照表.md
84,N/A (Chinese Line),**看涨期权 (call option)** 赋予持有人（所有者）以固定价格购买 100 股证券的权利（而非义务），并赋予卖方以该固定价格出售股票的义务。（如果卖方不持有 100 股标的证券，他们必须从市场上购买才能履行义务。）看涨期权的所有者是**看多 (bullish)** 的（想象一头向前冲的公牛），因为投资者希望股价上涨。如果股价涨到行权价以上，持有人既可以行使期权（以优惠价购买股票），也可以卖出期权获利。相比之下，看涨期权的卖方是**中性或看空 (bearish)** 的（想象一头冬眠的熊），因为他们希望股价保持不变或下跌。,**看涨期权 （call option）** 赋予持有人（所有者）以固定价格购买 100 股证券的权利（而非义务），并赋予卖方以该固定价格出售股票的义务。（如果卖方不持有 100 股标的证券，他们必须从市场上购买才能履行义务。）看涨期权的所有者是**看多 （bullish）** 的（想象一头向前冲的公牛），因为投资者希望股价上涨。如果股价涨到行权价以上，持有人既可以行使期权（以优惠价购买股票），也可以卖出期权获利。相比之下，看涨期权的卖方是**中性或看空 （bearish）** 的（想象一头冬眠的熊），因为他们希望股价保持不变或下跌。,Punctuation/Format,术语对照表.md
97,N/A (Chinese Line),您可以将**看跌期权 (put option)** 视为看涨期权的反面（见前一节）。看跌期权的持有人拥有按固定价格**卖出** 100 股证券的**权利**，而看跌期权的写入者（卖方）在期权被行使时有**义务买入**该股票。看跌期权的所有者是**看空**的，因为投资者希望股价下跌（这样他们就可以按市价买入股票，并立即按更高的行权价卖出，或者以更高的权利金卖出期权）。然而，看跌期权的卖方是**看多**的（他们希望股价上涨），因为这会防止期权进入实值状态（见下一节），从而让他们保留收到的权利金。,您可以将**看跌期权 （put option）** 视为看涨期权的反面（见前一节）。看跌期权的持有人拥有按固定价格**卖出** 100 股证券的**权利**，而看跌期权的写入者（卖方）在期权被行使时有**义务买入**该股票。看跌期权的所有者是**看空**的，因为投资者希望股价下跌（这样他们就可以按市价买入股票，并立即按更高的行权价卖出，或者以更高的权利金卖出期权）。然而，看跌期权的卖方是**看多**的（他们希望股价上涨），因为这会防止期权进入实值状态（见下一节），从而让他们保留收到的权利金。,Punctuation/Format,术语对照表.md
112,N/A (Chinese Line),*   **当期权处于实值 (in-the-money) 时**，行使期权可以让投资者以高于当前市价的价格卖出证券，或以低于市价的价格买入——这非常划算。期权的**内在价值 (intrinsic value)** 就是期权处于实值的金额；如果期权处于虚值或平值，内在价值为零。,*   **当期权处于实值 （in-the-money） 时**，行使期权可以让投资者以高于当前市价的价格卖出证券，或以低于市价的价格买入——这非常划算。期权的**内在价值 （intrinsic value）** 就是期权处于实值的金额；如果期权处于虚值或平值，内在价值为零。,Punctuation/Format,术语对照表.md
