Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
28,N/A (Chinese Line),*   **到期日 (Maturity date)：** 所有发行的债券都有一个规定的期限（20 年、30 年等）。到期日是债券持有人收回贷款的日期。到期时，债券持有人收到面值（见下一项）加上任何应付利息。由于希望长期占用资金的投资者并不多，因此短期债券通常比长期债券更具流动性（交易更活跃）。,*   **到期日 （Maturity date）：** 所有发行的债券都有一个规定的期限（20 年、30 年等）。到期日是债券持有人收回贷款的日期。到期时，债券持有人收到面值（见下一项）加上任何应付利息。由于希望长期占用资金的投资者并不多，因此短期债券通常比长期债券更具流动性（交易更活跃）。,Punctuation/Format,术语对照表.md
30,N/A (Chinese Line),"*   **面值 (Par value)：** 面值是债券的票面价值或面额。虽然面值对普通股股东并不重要（发行人仅将其用于记账目的），但对债券持有人很重要。就 SIE 考试而言，除非题目中另有说明，否则您可以假设每张债券的面值为 1,000 美元。","*   **面值 （Par value）：** 面值是债券的票面价值或面额。虽然面值对普通股股东并不重要（发行人仅将其用于记账目的），但对债券持有人很重要。就 SIE 考试而言，除非题目中另有说明，否则您可以假设每张债券的面值为 1,000 美元。",Punctuation/Format,术语对照表.md
36,N/A (Chinese Line),"债券价格按面值的百分比报价，通常不带百分号。交易价格为 100 的债券是以 1,000 美元面值的 100% 进行交易。无论投资者是以 850 美元 (85)、1,000 美元 (100) 还是 1,050 美元 (105) 购买债券，他们都将在债券到期日收到面值加上任何应付利息，通常期间每半年支付一次利息。公司债券通常以 1/8% 为增量进行报价（1/8% = 0.00125 或 1.25 美元），因此报价为 99 3/8（99.375%）的公司债券交易价格为 993.75 美元。","债券价格按面值的百分比报价，通常不带百分号。交易价格为 100 的债券是以 1,000 美元面值的 100% 进行交易。无论投资者是以 850 美元 （85）、1,000 美元 （100） 还是 1,050 美元 （105） 购买债券，他们都将在债券到期日收到面值加上任何应付利息，通常期间每半年支付一次利息。公司债券通常以 1/8% 为增量进行报价（1/8% = 0.00125 或 1.25 美元），因此报价为 99 3/8（99.375%）的公司债券交易价格为 993.75 美元。",Punctuation/Format,术语对照表.md
40,N/A (Chinese Line),*   **票面利率 (Coupon rate)：** 投资者当然不会白白借钱给发行人；他们通过向发行人提供贷款获得利息。债券上的票面利率告诉投资者他们每年将收到多少利息。虽然债券不再带有实物息票发行，但以前某些债券要求投资者从其债券上撕下带有日期的息票（**无记名债券**和**部分登记债券**），并上交以领取利息。,*   **票面利率 （Coupon rate）：** 投资者当然不会白白借钱给发行人；他们通过向发行人提供贷款获得利息。债券上的票面利率告诉投资者他们每年将收到多少利息。虽然债券不再带有实物息票发行，但以前某些债券要求投资者从其债券上撕下带有日期的息票（**无记名债券**和**部分登记债券**），并上交以领取利息。,Punctuation/Format,术语对照表.md
48,N/A (Chinese Line),*   **债券契约 (Bond indenture)：** 契约（也称为**信托契约**或**决议**）是发行人与债券持有人之间的法律协议，印在债券凭证上或附在凭证后。所有契约都包含基本条款：,*   **债券契约 （Bond indenture）：** 契约（也称为**信托契约**或**决议**）是发行人与债券持有人之间的法律协议，印在债券凭证上或附在凭证后。所有契约都包含基本条款：,Punctuation/Format,术语对照表.md
49,N/A (Chinese Line),    *   The maturity date (到期日),    *   The maturity date （到期日）,Punctuation/Format,术语对照表.md
50,N/A (Chinese Line),    *   The par value (面值),    *   The par value （面值）,Punctuation/Format,术语对照表.md
51,N/A (Chinese Line),    *   The coupon rate (interest rate) and interest payment dates (票面利率及付息日),    *   The coupon rate （interest rate） and interest payment dates （票面利率及付息日）,Punctuation/Format,术语对照表.md
52,N/A (Chinese Line),    *   Any collateral securing the bond (任何担保债券的抵押品),    *   Any collateral securing the bond （任何担保债券的抵押品）,Punctuation/Format,术语对照表.md
53,N/A (Chinese Line),    *   Any callable or convertible features (任何赎回或转换特征),    *   Any callable or convertible features （任何赎回或转换特征）,Punctuation/Format,术语对照表.md
56,N/A (Chinese Line),债券契约还包括**受托人 (trustee)** 的名称。受托人是为机构管理债券发行的组织；它确保债券发行人遵守与借款相关的所有条款和条件。从本质上讲，受托人努力确保发行人履行其义务。,债券契约还包括**受托人 （trustee）** 的名称。受托人是为机构管理债券发行的组织；它确保债券发行人遵守与借款相关的所有条款和条件。从本质上讲，受托人努力确保发行人履行其义务。,Punctuation/Format,术语对照表.md
69,N/A (Chinese Line),正确答案是 (D)。在过滤掉不需要的信息后，这是一个非常简单的问题。您只需要债券数量和票面利率就能算出答案。不要被 AA 评级、购买价格或市场价格所分心；这些信息的存在是为了迷惑您。,正确答案是 （D）。在过滤掉不需要的信息后，这是一个非常简单的问题。您只需要债券数量和票面利率就能算出答案。不要被 AA 评级、购买价格或市场价格所分心；这些信息的存在是为了迷惑您。,Punctuation/Format,术语对照表.md
72,N/A (Chinese Line),如果问题问的是半年利息，选项 (C) 才是正确的。,如果问题问的是半年利息，选项 （C） 才是正确的。,Punctuation/Format,术语对照表.md
