Paragraph_ID,EN_Text,CN_Original,CN_Revised,Reason,Glossary_Source
16,N/A (Chinese Line),## 1. 一般责任 (GO) 债券：以税收作为担保,## 1. 一般责任 （GO） 债券：以税收作为担保,Punctuation/Format,术语对照表.md
19,N/A (Chinese Line),大多数关于市政债的 SIE 考试题目都是关于一般责任 (GO) 债券的。以下各节将帮助您进行准备。,大多数关于市政债的 SIE 考试题目都是关于一般责任 （GO） 债券的。以下各节将帮助您进行准备。,Punctuation/Format,术语对照表.md
22,N/A (Chinese Line),### 一般责任 (GO) 债券的一般特征,### 一般责任 （GO） 债券的一般特征,Punctuation/Format,术语对照表.md
30,N/A (Chinese Line),当您准备参加 SIE 考试时，您需要识别并记住一般责任 (GO) 债券特有的几项内容：,当您准备参加 SIE 考试时，您需要识别并记住一般责任 （GO） 债券特有的几项内容：,Punctuation/Format,术语对照表.md
31,N/A (Chinese Line),*   **它们资助非盈利性设施。** 一般责任 (GO) 债券不是自给自足的，因为市政府发行它们是为了建设或支持那些不能产生足够资金（或根本不产生资金）来偿还债券的项目。GO 债券资助学校、图书馆、警察局、消防站等。,*   **它们资助非盈利性设施。** 一般责任 （GO） 债券不是自给自足的，因为市政府发行它们是为了建设或支持那些不能产生足够资金（或根本不产生资金）来偿还债券的项目。GO 债券资助学校、图书馆、警察局、消防站等。,Punctuation/Format,术语对照表.md
45,N/A (Chinese Line),与收益债券（本章后面讨论）相比，以下哪些项目更可能由一般责任 (GO) 债券融资？,与收益债券（本章后面讨论）相比，以下哪些项目更可能由一般责任 （GO） 债券融资？,Punctuation/Format,术语对照表.md
50,N/A (Chinese Line),"(A) 仅 I 和 II (B) 仅 III 和 IV (C) 仅 I 和 III (D) 仅 I, III 和 IV",（A） 仅 I 和 II （B） 仅 III 和 IV （C） 仅 I 和 III （D） 仅 I， III 和 IV,Punctuation/Format,术语对照表.md
51,N/A (Chinese Line),正确答案是 (B)。记住，GO 债券是为非盈利项目融资而发行的。新的市立医院和公共体育场馆将产生收入，可以支持收益债券。但新的初级中学和新的图书馆需要税收支持来偿还债券，因此更可能由 GO 债券融资。,正确答案是 （B）。记住，GO 债券是为非盈利项目融资而发行的。新的市立医院和公共体育场馆将产生收入，可以支持收益债券。但新的初级中学和新的图书馆需要税收支持来偿还债券，因此更可能由 GO 债券融资。,Punctuation/Format,术语对照表.md
56,N/A (Chinese Line),## 2. 分析一般责任 (GO) 债券,## 2. 分析一般责任 （GO） 债券,Punctuation/Format,术语对照表.md
67,N/A (Chinese Line),"*   **Quality (rating):** The higher the credit rating, the safer the bond and, therefore, the more marketable it is. (信用评级越高，债券越安全，因此越容易销售。)",*   **Quality （rating）：** The higher the credit rating， the safer the bond and， therefore， the more marketable it is. （信用评级越高，债券越安全，因此越容易销售。）,Punctuation/Format,术语对照表.md
68,N/A (Chinese Line),"*   **Maturity:** Typically, the shorter the maturity, the more marketable the bond issue is. (通常情况下，期限越短，债券发行的可销售性越好。)",*   **Maturity：** Typically， the shorter the maturity， the more marketable the bond issue is. （通常情况下，期限越短，债券发行的可销售性越好。）,Punctuation/Format,术语对照表.md
69,N/A (Chinese Line),*   **Call features:** Callable bonds are less marketable than noncallable bonds. Callable bonds give the issuer the right to call (redeem) the bonds from the holder at certain points before the maturity date. (可赎回债券的可销售性低于不可赎回债券。),*   **Call features：** Callable bonds are less marketable than noncallable bonds. Callable bonds give the issuer the right to call （redeem） the bonds from the holder at certain points before the maturity date. （可赎回债券的可销售性低于不可赎回债券。）,Punctuation/Format,术语对照表.md
70,N/A (Chinese Line),"*   **Interest (coupon) rate:** Everything else being somewhat equal, bonds with higher coupon (interest) rates are more marketable. (在其他条件大致相同的情况下，票面利率较高的债券更易销售。)",*   **Interest （coupon） rate：** Everything else being somewhat equal， bonds with higher coupon （interest） rates are more marketable. （在其他条件大致相同的情况下，票面利率较高的债券更易销售。）,Punctuation/Format,术语对照表.md
71,N/A (Chinese Line),"*   **Block size:** The larger the block size (the number of securities sold in the initial offering), the more marketable the bond usually is. (交易单位越大，债券通常越易销售。)",*   **Block size：** The larger the block size （the number of securities sold in the initial offering）， the more marketable the bond usually is. （交易单位越大，债券通常越易销售。）,Punctuation/Format,术语对照表.md
72,N/A (Chinese Line),"*   **Dollar price:** All else being equal, the lower the dollar price, the more marketable the bond is. (在其他条件相同的情况下，美元价格越低，债券越易销售。)",*   **Dollar price：** All else being equal， the lower the dollar price， the more marketable the bond is. （在其他条件相同的情况下，美元价格越低，债券越易销售。）,Punctuation/Format,术语对照表.md
73,N/A (Chinese Line),*   **Issuer's name:** Bonds are more marketable when the issuer has a good reputation for paying off its bonds on time. (当发行人在准时还本付息方面声誉良好时，债券更易销售。),*   **Issuer's name：** Bonds are more marketable when the issuer has a good reputation for paying off its bonds on time. （当发行人在准时还本付息方面声誉良好时，债券更易销售。）,Punctuation/Format,术语对照表.md
74,N/A (Chinese Line),"*   **Sinking fund:** If the issuer has put money aside to pay the bonds off at maturity, the bonds are more marketable because the default risk is lower. (如果发行人拨备了资金用于到期偿债，则债券的可销售性更高。)",*   **Sinking fund：** If the issuer has put money aside to pay the bonds off at maturity， the bonds are more marketable because the default risk is lower. （如果发行人拨备了资金用于到期偿债，则债券的可销售性更高。）,Punctuation/Format,术语对照表.md
75,N/A (Chinese Line),"*   **Insurance:** If the bonds are insured against default, they're considered to be very safe and are much more marketable. Bond insurance is considered to be a **credit enhancement**. (如果债券针对违约进行了投保，则被认为非常安全且更易销售。债券保险被视为一种**信用增级**。)",*   **Insurance：** If the bonds are insured against default， they're considered to be very safe and are much more marketable. Bond insurance is considered to be a **credit enhancement**。 （如果债券针对违约进行了投保，则被认为非常安全且更易销售。债券保险被视为一种**信用增级**。）,Punctuation/Format,术语对照表.md
81,N/A (Chinese Line),影响一般责任 (GO) 债券安全性的一个因素是市政府处理债务的能力。在考虑发行人名称后，您可以查看该市政府之前的发行情况，并了解其是否能够及时清偿债务。,影响一般责任 （GO） 债券安全性的一个因素是市政府处理债务的能力。在考虑发行人名称后，您可以查看该市政府之前的发行情况，并了解其是否能够及时清偿债务。,Punctuation/Format,术语对照表.md
84,N/A (Chinese Line),除了市政府的名称（和信用历史）之外，您还需要查看其**当前债务**（市政府直接欠下的债务）和**净总债务**（包括发行人直接欠下的债务和**重叠债务 (overlapping debt)**）。重叠债务是指发行人因属于更大的州或地方政府的一部分而欠下的债务。换句话说，一个镇属于一个县，而一个县又属于一个州。,除了市政府的名称（和信用历史）之外，您还需要查看其**当前债务**（市政府直接欠下的债务）和**净总债务**（包括发行人直接欠下的债务和**重叠债务 （overlapping debt）**）。重叠债务是指发行人因属于更大的州或地方政府的一部分而欠下的债务。换句话说，一个镇属于一个县，而一个县又属于一个州。,Punctuation/Format,术语对照表.md
